Symbol,Name,Quantity,Avg. Price,Cost Basis,Unrealized Gain ($),Unrealized Gain (%),Value
TNA,Direxion Daily Small Cap Bull 3x Shares,38.43588,35.71,"1,372.70",649.41,47.31,"2,022.11"
TQQQ,ProShares UltraPro QQQ,35.37573,22.39,792.17,"1,118.12",141.15,"1,910.29"
SPXL,Direxion Daily S&P 500 Bull 3X Shares,5.71916,82.96,474.43,829.37,174.81,"1,303.80"
CURE,Direxion Daily Healthcare Bull 3x Shares,8.43366,95.82,808.14,114.76,14.2,922.90
SOXL,Direxion Daily Semiconductor Bull 3X Shares,8.69062,17.90,155.56,381.43,245.2,536.99
WEBL,Direxion Daily Dow Jones Internet Bull 3X Shares,12.84479,11.75,150.96,163.74,108.47,314.70
AMZU,DIREXION SH ETF TR,8.0421,35.58,286.15,11.49,4.02,297.64
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares,7.59222,47.52,360.77,-80.39,-22.28,280.38
TSLL,Direxion Daily TSLA Bull 2X Shares,3.76033,10.73,40.35,23.99,59.45,64.34
